Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
02/06/2020,Drenthe,22,Totaal,2,513
02/06/2020,Drenthe,22,Ziekenhuisopname,0,116
03/06/2020,Drenthe,22,Overleden,0,40
03/06/2020,Drenthe,22,Totaal,0,513
03/06/2020,Drenthe,22,Ziekenhuisopname,0,116
04/06/2020,Drenthe,22,Overleden,0,40
04/06/2020,Drenthe,22,Totaal,2,515
04/06/2020,Drenthe,22,Ziekenhuisopname,0,116
05/06/2020,Drenthe,22,Overleden,0,40
05/06/2020,Drenthe,22,Totaal,3,518
05/06/2020,Drenthe,22,Ziekenhuisopname,0,116
06/06/2020,Drenthe,22,Overleden,0,40
06/06/2020,Drenthe,22,Totaal,1,519
06/06/2020,Drenthe,22,Ziekenhuisopname,0,116
07/06/2020,Drenthe,22,Overleden,0,40
07/06/2020,Drenthe,22,Totaal,4,523
07/06/2020,Drenthe,22,Ziekenhuisopname,0,116
08/06/2020,Drenthe,22,Overleden,0,40
08/06/2020,Drenthe,22,Totaal,0,523
08/06/2020,Drenthe,22,Ziekenhuisopname,0,116
09/06/2020,Drenthe,22,Overleden,0,40
09/06/2020,Drenthe,22,Totaal,0,523
09/06/2020,Drenthe,22,Ziekenhuisopname,0,116
10/06/2020,Drenthe,22,Overleden,0,40
10/06/2020,Drenthe,22,Totaal,1,524
10/06/2020,Drenthe,22,Ziekenhuisopname,0,116
11/06/2020,Drenthe,22,Overleden,0,40
11/06/2020,Drenthe,22,Totaal,1,525
11/06/2020,Drenthe,22,Ziekenhuisopname,0,116
12/06/2020,Drenthe,22,Overleden,0,40
12/06/2020,Drenthe,22,Totaal,0,525
12/06/2020,Drenthe,22,Ziekenhuisopname,0,116
13/06/2020,Drenthe,22,Overleden,0,40
13/06/2020,Drenthe,22,Totaal,0,525
13/06/2020,Drenthe,22,Ziekenhuisopname,0,116
14/06/2020,Drenthe,22,Overleden,0,40
14/06/2020,Drenthe,22,Totaal,3,528
14/06/2020,Drenthe,22,Ziekenhuisopname,0,116
15/06/2020,Drenthe,22,Overleden,0,40
15/06/2020,Drenthe,22,Totaal,1,529
15/06/2020,Drenthe,22,Ziekenhuisopname,0,116
16/06/2020,Drenthe,22,Overleden,0,40
16/06/2020,Drenthe,22,Totaal,0,529
16/06/2020,Drenthe,22,Ziekenhuisopname,0,116
17/06/2020,Drenthe,22,Overleden,0,40
17/06/2020,Drenthe,22,Totaal,2,531
17/06/2020,Drenthe,22,Ziekenhuisopname,0,116
18/06/2020,Drenthe,22,Overleden,0,40
18/06/2020,Drenthe,22,Totaal,1,532
18/06/2020,Drenthe,22,Ziekenhuisopname,0,116
19/06/2020,Drenthe,22,Overleden,1,41
19/06/2020,Drenthe,22,Totaal,0,532
